AnnoS;Lau_M;Lau_F;Lau;fonte dati
2024;175889;239664;415553;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025
2023;167522;226338;393860;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025
2022;157168;210583;367751;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025
2021;160306;213668;373974;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025
2020;153499;200518;354017;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025
2019;149042;195079;344121;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025
2018;141116;187155;328271;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025
2017;134808;183670;318478;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025
2016;131590;180575;312165;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025
2015;127134;178078;305212;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025
2014;126068;182073;308141;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025
2013;125979;181926;307905;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025
2012;123799;178905;302704;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025
2011;121960;174910;296870;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025
2010;117952;168044;285996;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025
2009;122.877;169.933;292.810;Rilevazione Istruzione Universitaria
2008;125.050;169.927;294.977;Rilevazione Istruzione Universitaria
2007;126.017;174.114;300.131;Rilevazione Istruzione Universitaria
2006;128.106;173.270;301.376;Rilevazione Istruzione Universitaria
2005;128.869;172.429;301.298;Rilevazione Istruzione Universitaria
2004;114.123;154.698;268.821;Rilevazione Istruzione Universitaria
2003;103.355;131.584;234.939;Rilevazione Istruzione Universitaria
2002;88.045;113.073;201.118;Rilevazione Istruzione Universitaria
2001;74.623;97.183;171.806;Rilevazione Istruzione Universitaria
