AnnoS;Lau_Md;Lau_Fd;Lau_D;fonte dati;
2024;7274;9441;16715;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025;
2023;5938;7582;13520;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025;
2022;4865;6118;10983;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025;
2021;4753;5880;10633;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025;
2020;4150;5230;9380;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025;
2019;3746;4658;8404;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025;
2018;3080;4122;7202;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025;
2017;2865;3917;6782;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025;
2016;2789;4143;6932;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025;
2015;2870;4113;6983;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025;
2014;2751;4225;6976;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025;
2013;2566;4137;6703;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025;
2012;2312;4027;6339;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025;
2011;2151;3489;5640;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025;
2010;2084;3399;5483;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025;
2009;2590;4151;6741;Rilevazione Istruzione Universitaria;studenti stranieri
2008;2379;3891;6270;Rilevazione Istruzione Universitaria;studenti stranieri
2007;2163;3679;5842;Rilevazione Istruzione Universitaria;studenti stranieri
2006;1866;3221;5087;Rilevazione Istruzione Universitaria;studenti stranieri
2005;1667;2771;4438;Rilevazione Istruzione Universitaria;studenti stranieri
